,lon,lat,date,type,x_m,y_m
106683,-81.1402189981854,-5.016971821848563,2020-12-21,satellite,6625.043480848486,5863.417863482609
106684,-81.12561463951971,-5.067712594971632,2020-12-21,satellite,8245.04348084837,254.91786366514862
106685,-81.12497870472336,-5.068228373409151,2020-12-21,satellite,8315.543480847904,197.91786366701126
106686,-81.12175810482891,-5.069138169431015,2020-12-21,satellite,8672.543480848311,97.4178636688739
106687,-81.12174455691742,-5.0690567527238475,2020-12-21,satellite,8674.04348084802,106.4178636688739
106691,-81.11484073025723,-5.05677727215658,2020-12-21,satellite,9439.043480848311,1463.9178636241704
106692,-81.11477308969263,-5.056899413099484,2020-12-21,satellite,9446.54348084837,1450.417863626033
106700,-81.11040384213894,-5.067064015612299,2020-12-21,satellite,9931.04348084901,326.9178636614233
107555,-81.16141556423332,-4.986733233302225,2020-12-27,satellite,4274.543480847089,9205.417863372713
107556,-81.16110432277416,-4.98661118067805,2020-12-27,satellite,4309.043480847613,9218.917863372713
107557,-81.16087432980257,-4.9867469358909595,2020-12-27,satellite,4334.543480847438,9203.917863372713
107558,-81.15969703603515,-4.986326556454239,2020-12-27,satellite,4465.043480847147,9250.41786337085
107559,-81.15642442267782,-4.994238588863939,2020-12-27,satellite,4828.043480848079,8375.91786339879
107560,-81.15486854352197,-4.9950802909543635,2020-12-27,satellite,5000.543480848079,8282.917863402516
